LGD Code,LGD Name,Year,Number of Farms,Number of lfa farms  ,Number of non lfa farms  ,Total area farmed in hectares  ,Average,Total crops in hectares  ,Total grass & rough grazing in hectares  ,Total number of cattle  ,Total number of sheep  ,Total number of pigs  ,Total number of poultry ('000)  ,Number of farmers  ,Number of self employed,Number of spouses  ,Number of Other workers  ,Total number of Agricultural labour  ,Number of V. Small farms,Number of small farms,Number of medium farms,Number of large farms
N09000001,Antrim and Newtownabbey,2013,874,476,398,"42,070",81,"1,822","39,362","78,954","61,787","20,668",968,"1,051",640,267,561,"1,879",600,138,52,84
N09000002,"Armagh City, Banbridge and Craigavon",2013,"3,212","1,375","1,837","105,360",77,"10,885","93,027","227,430","119,207","90,339","2,742","3,832","2,098",851,"2,216","6,899","2,374",392,172,274
N09000003,Belfast,2013,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N09000004,Causeway Coast and Glens,2013,"2,472","1,519",953,"143,793",80,"10,096","131,172","185,341","404,548","22,440","2,224","3,072","1,969",729,"1,340","5,141","1,656",412,168,236
N09000005,Derry City and Strabane,2013,"1,680","1,388",292,"94,910",66,"4,361","87,503","109,356","281,869","29,541",451,"2,005","1,245",396,915,"3,316","1,213",260,87,120
N09000006,Fermanagh and Omagh,2013,"5,042","4,906",136,"205,538",42,882,"200,644","277,558","242,417","36,627","1,665","5,770","3,152","1,209","1,913","8,892","4,200",527,168,147
N09000007,Lisburn and Castlereagh,2013,850,285,565,"35,611",77,"4,703","29,947","61,616","36,187","24,558",425,"1,051",564,273,558,"1,882",622,99,45,84
N09000008,Mid and East Antrim,2013,"1,772","1,365",407,"80,011",67,"1,215","77,876","116,748","242,585","9,003","2,226","2,102","1,270",564,796,"3,462","1,289",259,109,115
N09000009,Mid Ulster,2013,"4,128","2,869","1,259","142,404",71,"4,062","136,324","261,567","202,225","179,216","7,485","4,844","2,538",956,"1,803","7,603","3,209",490,220,209
N09000010,"Newry, Mourne and Down",2013,"3,765","2,848",917,"114,176",45,"6,670","106,293","203,468","269,409","53,337","1,046","4,398","2,182",911,"1,572","6,881","3,110",385,116,154
N09000011,Ards and North Down,2013,684,61,623,"32,183",107,"6,858","24,081","63,045","41,678","12,872",141,880,559,229,598,"1,707",429,97,49,109
N09000001,Antrim and Newtownabbey,2014,862,462,400,"42,082",95,"1,782","39,403","77,734","62,507","20,466","1,146","1,039",642,268,526,"1,833",590,139,50,83
N09000002,"Armagh City, Banbridge and Craigavon",2014,"3,166","1,357","1,809","104,400",91,"10,048","92,853","228,892","120,981","136,707","2,809","3,870","2,138",846,"2,363","7,079","2,335",380,180,271
N09000003,Belfast,2014,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N09000004,Causeway Coast and Glens,2014,"2,453","1,515",938,"143,638",89,"9,978","131,086","185,408","403,451","21,493","1,801","3,107","1,934",704,"1,308","5,119","1,668",381,165,239
N09000005,Derry City and Strabane,2014,"1,687","1,399",288,"96,332",74,"4,387","88,902","106,965","282,838","18,831",467,"2,042","1,249",385,912,"3,339","1,226",261,78,122
N09000006,Fermanagh and Omagh,2014,"4,958","4,815",143,"204,207",51,826,"199,219","269,089","254,116","40,167","1,969","5,715","3,104","1,212","1,870","8,797","4,118",497,201,142
N09000007,Lisburn and Castlereagh,2014,833,282,551,"35,237",88,"4,665","29,497","60,451","32,714","19,357",609,"1,032",565,284,588,"1,904",603,97,48,85
N09000008,Mid and East Antrim,2014,"1,750","1,357",393,"79,821",81,"1,112","77,770","116,137","244,197","9,851","2,757","2,126","1,268",537,820,"3,483","1,274",236,111,129
N09000009,Mid Ulster,2014,"4,080","2,818","1,262","141,546",82,"3,769","135,853","258,724","205,074","179,448","7,621","4,860","2,545",920,"1,841","7,621","3,179",464,227,210
N09000010,"Newry, Mourne and Down",2014,"3,735","2,783",952,"114,695",52,"6,449","106,931","198,568","274,953","54,528","1,042","4,402","2,190",885,"1,558","6,845","3,089",374,119,153
N09000011,Ards and North Down,2014,683,69,614,"32,628",118,"6,690","24,600","62,912","40,249","14,622",182,881,554,234,614,"1,729",424,104,44,111
N09000001,Antrim and Newtownabbey,2015,890,480,410,"41,856",95,"1,648","39,294","78,784","70,107","23,951","1,028","1,090",660,273,490,"1,853",617,135,48,90
N09000002,"Armagh City, Banbridge and Craigavon",2015,"3,246","1,370","1,876","103,033",93,"9,703","91,919","235,892","121,761","154,277","2,859","3,977","2,150",841,"2,240","7,058","2,397",379,181,289
N09000003,Belfast,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N09000004,Causeway Coast and Glens,2015,"2,517","1,552",965,"142,074",89,"8,898","130,678","188,818","411,268","23,195","1,998","3,190","1,960",687,"1,251","5,128","1,712",393,168,244
N09000005,Derry City and Strabane,2015,"1,735","1,422",313,"94,773",75,"4,012","87,822","109,124","287,234","29,597",431,"2,093","1,276",401,847,"3,341","1,271",251,82,131
N09000006,Fermanagh and Omagh,2015,"5,133","4,956",177,"206,748",51,682,"201,779","281,595","272,150","39,219","2,173","5,987","3,241","1,142","1,679","8,808","4,262",505,209,157
N09000007,Lisburn and Castlereagh,2015,861,291,570,"35,675",91,"4,889","29,753","61,905","35,409","23,054",801,"1,061",580,256,489,"1,806",627,94,49,91
N09000008,Mid and East Antrim,2015,"1,806","1,378",428,"81,570",80,"1,044","79,464","119,105","253,565","10,081","2,546","2,166","1,301",489,793,"3,448","1,310",264,102,130
N09000009,Mid Ulster,2015,"4,155","2,816","1,339","142,008",84,"3,685","136,435","263,645","216,677","184,636","8,116","5,008","2,654",901,"1,760","7,669","3,227",466,243,219
N09000010,"Newry, Mourne and Down",2015,"3,841","2,870",971,"114,884",52,"6,179","107,240","203,290","279,618","64,084","1,128","4,562","2,244",858,"1,588","7,008","3,190",371,123,157
N09000011,Ards and North Down,2015,695,63,632,"32,835",120,"6,468","24,995","63,854","40,167","16,178",166,895,548,231,608,"1,734",444,90,42,119
N09000001,Antrim and Newtownabbey,2016,868,467,401,"42,165",98,"1,592.40","39,643.60",80337,74806,22751,"1,097.68",1083,643,277,478,1838,598,130,47,93
N09000002,"Armagh City, Banbridge and Craigavon",2016,"3,192","1,347","1,845","106,196",98,"9,471","95,183","247,604","123,246","162,769","3,092","3,914","2,131",880,"2,244","7,038","2,334",374,192,292
N09000003,Belfast,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N09000004,Causeway Coast and Glens,2016,"2,512","1,566",946,"143,795",92,"8,990","132,288","190,824","413,067","23,898","2,387","3,162","1,939",755,"1,224","5,141","1,697",390,178,247
N09000005,Derry City and Strabane,2016,"1,747","1,430",317,"95,854",77,"3,960","88,871","114,641","292,616","27,067",456,"2,106","1,236",434,887,"3,427","1,285",241,87,134
N09000006,Fermanagh and Omagh,2016,"5,034","4,877",157,"206,638",54,726,"201,470","291,687","281,111","39,473","2,213","5,946","3,167","1,194","1,597","8,737","4,140",518,197,179
N09000007,Lisburn and Castlereagh,2016,832,284,548,"35,557",93,"4,896","29,488","62,861","37,004","26,178",646,"1,055",570,260,490,"1,805",594,101,45,92
N09000008,Mid and East Antrim,2016,"1,762","1,351",411,"82,552",83,"1,145","80,269","123,753","253,693","10,639","2,512","2,150","1,251",514,788,"3,452","1,270",252,104,136
N09000009,Mid Ulster,2016,"4,090","2,755","1,335","144,330",88,"3,602","138,069","273,389","225,295","209,709","8,016","4,950","2,602",966,"1,678","7,594","3,160",472,218,240
N09000010,"Newry, Mourne and Down",2016,"3,787","2,826",961,"121,248",53,"6,328","105,860","211,803","279,091","61,587","1,208","4,538","2,155",907,"1,510","6,955","3,130",370,121,166
N09000011,Ards and North Down,2016,679,63,616,"32,676",123,"6,610","24,716","64,738","41,772","15,396",157,868,522,219,563,"1,650",425,87,47,120
N09000001,Antrim and Newtownabbey,2017,888,478,410,"41,610",99,"1,561","39,226","80,106","78,167","23,169","1,256","1,087",649,281,486,"1,854",622,125,44,97
N09000002,"Armagh City, Banbridge and Craigavon",2017,"3,246","1,380","1,866","106,562",99,"9,566","95,419","250,951","126,056","181,153","3,654","3,976","2,171",869,"2,379","7,224","2,378",398,172,298
N09000003,Belfast,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N09000004,Causeway Coast and Glens,2017,"2,529","1,568",961,"144,467",91,"8,777","133,243","188,115","416,813","24,085","2,958","3,216","1,993",761,"1,241","5,218","1,731",364,171,263
N09000005,Derry City and Strabane,2017,"1,773","1,453",320,"96,506",76,"4,256","89,101","112,137","294,178","29,141",477,"2,169","1,266",438,873,"3,480","1,310",248,87,128
N09000006,Fermanagh and Omagh,2017,"5,117","4,968",149,"208,713",55,625,"203,569","288,252","287,069","43,850","2,899","6,084","3,331","1,205","1,776","9,065","4,209",520,205,183
N09000007,Lisburn and Castlereagh,2017,848,283,565,"35,943",93,"4,868","29,957","64,129","36,407","24,362",763,"1,051",596,261,484,"1,796",613,97,51,87
N09000008,Mid and East Antrim,2017,"1,797","1,391",406,"83,337",86,"1,134","81,154","122,984","260,903","15,613","3,233","2,183","1,305",533,833,"3,549","1,307",242,106,142
N09000009,Mid Ulster,2017,"4,166","2,797","1,369","146,063",87,"3,519","139,954","273,520","227,921","226,961","7,945","5,035","2,635",971,"1,728","7,734","3,235",477,217,237
N09000010,"Newry, Mourne and Down",2017,"3,874","2,883",991,"122,148",54,"6,431","106,787","217,726","281,579","67,105","1,576","4,619","2,255",906,"1,498","7,023","3,195",381,126,172
N09000011,Ards and North Down,2017,687,71,616,"31,994",120,"6,393","24,737","65,380","42,036","12,305",149,889,541,221,560,"1,670",434,92,48,113
N09000001,Antrim and Newtownabbey,2018,872,465,407,"42,175",97,"1,522","39,847","78,259","79,060","22,903","1,138","1,102",662,278,502,"1,882",612,125,42,93
N09000002,"Armagh City, Banbridge and Craigavon",2018,"3,253","1,392","1,861","107,713",98,"9,230","96,971","247,598","121,828","173,944","3,765","4,048","2,196",881,"2,376","7,305","2,421",366,175,291
N09000003,Belfast,2018,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N09000004,Causeway Coast and Glens,2018,"2,501","1,543",958,"143,898",90,"8,341","133,247","182,296","399,256","22,183","2,883","3,220","1,974",769,"1,258","5,247","1,740",352,155,254
N09000005,Derry City and Strabane,2018,"1,771","1,453",318,"97,080",74,"4,202","89,958","110,207","281,756","29,851",347,"2,183","1,287",459,868,"3,510","1,324",230,89,128
N09000006,Fermanagh and Omagh,2018,"5,094","4,947",147,"209,030",54,614,"204,352","277,970","281,242","43,580","2,979","6,090","3,364","1,219","1,755","9,064","4,220",503,189,182
N09000007,Lisburn and Castlereagh,2018,842,292,550,"35,719",93,"4,104","30,415","64,226","36,401","24,981",805,"1,058",595,262,487,"1,807",615,90,51,86
N09000008,Mid and East Antrim,2018,"1,793","1,392",401,"83,048",85,981,"81,097","117,628","261,244","14,854","3,288","2,223","1,321",545,851,"3,619","1,310",246,105,132
N09000009,Mid Ulster,2018,"4,162","2,826","1,336","146,408",89,"3,339","140,568","265,271","222,144","229,958","9,050","5,111","2,648",945,"1,700","7,756","3,254",457,215,236
N09000010,"Newry, Mourne and Down",2018,"3,880","2,898",982,"122,407",54,"6,277","107,224","216,170","281,177","60,794","1,592","4,688","2,341",934,"1,565","7,187","3,224",362,121,173
N09000011,Ards and North Down,2018,696,69,627,"32,558",117,"6,251","24,910","66,122","40,506","8,979",185,924,557,242,595,"1,761",443,92,45,116
N09000001,Antrim and Newtownabbey,2019,873,463,410,42358.2,96.94124929,1516.4,40026.7,77955,78599,16944,1174.231,1101,665,262,507,1870,623,108,53,89
N09000002,"Armagh City, Banbridge and Craigavon",2019,3245,1392,1853,106854.1,99.81258861,8993.1,96485.4,242520,117824,208872,3742.811,4064,2223,882,2259,7205,2418,362,178,287
N09000003,Belfast,2019,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N09000004,Causeway Coast and Glens,2019,2502,1550,952,144005.5,89.16991454,8230.6,133545,184020,396514,23319,2445.242,3258,1983,749,1239,5246,1750,346,161,245
N09000005,Derry City and Strabane,2019,1767,1450,317,97588.9,76.67060748,4057.3,90602.8,111167,283268,31757,512.563,2212,1295,470,896,3578,1318,222,101,126
N09000006,Fermanagh and Omagh,2019,5094,4958,136,209130.9,54.27413108,551,204513,275821,279911,39400,2732.27,6112,3327,1349,1637,9098,4227,488,197,182
N09000007,Lisburn and Castlereagh,2019,841,292,549,35246.8,91.13772504,4050.2,30725.9,63531,38106,26300,720.622,1072,601,270,530,1872,607,98,47,89
N09000008,Mid and East Antrim,2019,1773,1385,388,83690.7,85.27229115,1066,81665.7,117667,259488,16932,2757.43,2197,1274,551,864,3612,1293,242,98,140
N09000009,Mid Ulster,2019,4144,2823,1321,146432.5,90.50157254,3452.6,140423.7,262547,221704,239566,9156.83,5103,2661,950,1756,7809,3235,454,221,234
N09000010,"Newry, Mourne and Down",2019,3872,2907,965,123283.9,52.89407988,6531.3,107676.1,208471,270760,60403,1379.032,4732,2352,991,1636,7359,3236,342,124,170
N09000011,Ards and North Down,2019,686,68,618,32319.7,118.7116488,6385,24564.9,64833,38908,9741,159.35,927,553,219,567,1713,447,82,43,114
